Reported_Date,Confirmed_Negative-Cumulative,Confirmed_Positive-Daily
2020-03-02,975,15
2020-03-03,1061,17
2020-03-04,1216,17
2020-03-05,1466,18
2020-03-06,1665,22
2020-03-07,1918,24
2020-03-08,2094,25
2020-03-09,2347,31
2020-03-10,2599,31
2020-03-11,2888,37
2020-03-12,3590,54
2020-03-13,4470,74
2020-03-14,5606,98
2020-03-15,7004,140
2020-03-16,8464,172
2020-03-17,9415,183
2020-03-18,10305,208
2020-03-19,12421,251
2020-03-20,13718,311
2020-03-21,15768,369
2020-03-22,17634,412
2020-03-23,19586,489
2020-03-24,21795,572
2020-03-25,24458,667
2020-03-26,26727,835
2020-03-27,29967,967
2020-03-28,33240,1117
2020-03-29,40630,1324
